stationid,surveyyear,sampledate,stationdepth,labname,labsampleid
B08-7522,2008,2008/08/26 07:00:00+00,14,NULL,NULL
B08-7553,2008,2008/09/12 07:00:00+00,53,NULL,NULL
B08-6180,2008,2008/08/07 07:00:00+00,2,NULL,NULL
B08-6217,2008,2008/08/05 07:00:00+00,3,NULL,NULL
B08-7280,2008,2008/07/15 07:00:00+00,750,NULL,NULL
B08-7671,2008,2008/07/25 07:00:00+00,192,NULL,NULL
B08-6468,2008,2008/07/14 07:00:00+00,3,NULL,NULL
B08-6094,2008,2008/08/19 07:00:00+00,11,NULL,NULL
B08-6017,2008,2008/08/22 07:00:00+00,1,NULL,NULL
B08-7094,2008,2008/07/16 07:00:00+00,755,NULL,NULL
B08-6270,2008,2008/07/08 07:00:00+00,0,NULL,NULL
B08-6243,2008,2008/07/15 07:00:00+00,0,NULL,NULL
B08-7022,2008,2008/07/21 07:00:00+00,666,NULL,NULL
B08-6212,2008,2008/08/05 07:00:00+00,6,NULL,NULL
B08-7442,2008,2008/09/11 07:00:00+00,58,NULL,NULL
B08-7293,2008,2008/09/11 07:00:00+00,14,City of San Diego,P448289
B08-6157,2008,2008/08/06 07:00:00+00,3,NULL,NULL
B08-6354,2008,2008/08/08 07:00:00+00,3,NULL,NULL
B08-6386,2008,2008/07/22 07:00:00+00,16,NULL,NULL
B08-7355,2008,2008/07/24 07:00:00+00,6,City of San Diego,P448297
B08-7250,2008,2008/07/15 07:00:00+00,609,NULL,NULL
B08-6661,2008,2008/08/21 07:00:00+00,12,NULL,NULL
B08-6493,2008,2008/07/31 07:00:00+00,15,NULL,NULL
B08-7300,2008,2008/07/14 07:00:00+00,27,NULL,NULL
B08-7714,2008,2008/07/28 07:00:00+00,42,NULL,NULL
B08-7428,2008,2008/07/15 07:00:00+00,400,NULL,NULL
B08-7544,2008,2008/08/13 07:00:00+00,100,NULL,NULL
B08-7684,2008,2008/07/27 07:00:00+00,442,City of San Diego,P437660
B08-7543,2008,2008/09/09 07:00:00+00,88,NULL,NULL
B08-6245,2008,2008/07/15 07:00:00+00,2,NULL,NULL
B08-6294,2008,2008/08/04 07:00:00+00,7,NULL,NULL
B08-6001,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72131-R1
B08-6010,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72032-R1
B08-6012,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72028-R1
B08-6015,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73255-R1
B08-6027,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73252-R1
B08-6039,2008,2008/08/21 07:00:00+00,2,CRG Laboratories,73150-R1
B08-6041,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73248-R1
B08-6042,2008,2008/08/21 07:00:00+00,2,CRG Laboratories,73149-R1
B08-6004,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72035-R1
B08-6001,2008,2008/07/16 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV2051
B08-6004,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72130-R1
B08-6004,2008,2008/07/16 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV2051
B08-6009,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72030-R1
B08-6009,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72128-R1
B08-6009,2008,2008/07/16 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV2050
B08-6010,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72129-R1
B08-6045,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73249-R1
B08-6010,2008,2008/07/16 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV2051
B08-6012,2008,2008/07/16 07:00:00+00,2,CRG Laboratories,72127-R1
B08-6012,2008,2008/07/16 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV2064
B08-6015,2008,2008/08/22 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1996
B08-6017,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73256-R1
B08-6025,2008,2008/08/22 07:00:00+00,-99,NOAA Center for Human Health Risk,08-329
B08-6025,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73253-R1
B08-6027,2008,2008/08/22 07:00:00+00,-99,NOAA Center for Human Health Risk,08-327
B08-6031,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73254-R1
B08-6031,2008,2008/08/22 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1996
B08-6039,2008,2008/08/21 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1996
B08-6040,2008,2008/08/21 07:00:00+00,2,CRG Laboratories,73151-R1
B08-6044,2008,2008/08/22 07:00:00+00,12,CRG Laboratories,80305-R1
B08-6044,2008,2008/08/22 07:00:00+00,12,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1997
B08-6057,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72002-R1
B08-6044,2008,2008/08/22 07:00:00+00,12,City of San Diego,P446646
B08-6044,2008,2008/08/22 07:00:00+00,12,City of San Diego,P446775
B08-6046,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73250-R1
B08-6046,2008,2008/08/22 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1996
B08-6047,2008,2008/08/22 07:00:00+00,2,CRG Laboratories,73251-R1
B08-6047,2008,2008/08/22 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1996
B08-6049,2008,2008/08/21 07:00:00+00,2,CRG Laboratories,73141-R1
B08-6052,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72000-R1
B08-6052,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72113-R1
B08-6052,2008,2008/07/10 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1997
B08-6054,2008,2008/08/21 07:00:00+00,2,CRG Laboratories,73148-R1
B08-6057,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72114-R1
B08-6060,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72005-R1
B08-6060,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72115-R1
B08-6060,2008,2008/07/10 07:00:00+00,-99,NOAA Coastal Oceanographic Assessment Status and Trends,ENV1996
B08-6065,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72007-R1
B08-6083,2008,2008/08/21 07:00:00+00,2,CRG Laboratories,73143-R1
B08-6065,2008,2008/07/10 07:00:00+00,2,CRG Laboratories,72116-R1
